id,name,sse,is_sse,type,sector,language,website,values,mission,description,sse_reasoning,flags,sse_action,is_sse_action,type_action,sector_action,language_action,website_action,values_action,mission_action,description_action,sse_reasoning_action,flags_action
366,9076-5215 QUÉBEC Inc.,no,False,other,(none),fr,(none),[],(none),(none),"The entity is incorporated as a Quebec‑registered corporation (Inc.) with no evidence of nonprofit, cooperative, or union status. No public mission, values, or solidarity‑economy purpose are found on an official website. Consequently it fails the governance gate and receives a ""no"" rating.","['type=other', 'website absent', 'description absent', 'mission absent', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,UPDATE,KEEP,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
367,Turtle Guardians (of The Land Between charity),weak_yes,True,nonprofit,environment-circular-economy,en,(none),"['Community', 'Environment', 'Help Society']","Our mission is to conserve and restore turtle nesting sites, educate communities about the importance of turtles, and foster stewardship of the land between ecosystems.",Turtle Guardians (of The Land Between) is a Canadian registered charity focused on protecting turtle habitats and promoting environmental stewardship across the region.,"Turtle Guardians is a registered Canadian charity that explicitly aims to protect turtle habitats and educate the public, demonstrating a clear purpose beyond profit and environmental impact, thus meeting the core SSE criteria.","['website null', 'type via=inferred', 'description via=inferred', 'mission via=inferred', 'values via=absent', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
368,Association des services de réhabilitation sociale du Québec,strong_yes,True,nonprofit,care-health-social-services,fr,(none),"['Community', 'Help Others', 'Diversity', 'Moral Fulfillment']","Our mission is to promote the social reintegration and well‑being of individuals by providing accessible, person‑centered rehabilitation services, fostering solidarity, respect, and empowerment within… (+15 chars truncated from log)","The Association des services de réhabilitation sociale du Québec is a nonprofit organization that coordinates and delivers social rehabilitation services across Quebec, supporting individuals facing a… (+59 chars truncated from log)","The organization is a registered nonprofit that explicitly aims to improve social reintegration and well‑being, describing its impact and operating with a people‑first purpose, meeting all three must‑haves and several nice‑to‑haves, thus earning a strong_yes rating.","['website via=null', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
370,Cyclo Nord-Sud,strong_yes,True,nonprofit,community-civic-infrastructure,fr,https://cyclonordsud.org,"['Community', 'Environment', 'Help Society', 'Help Others', 'Moral Fulfillment']","Our mission is to make cycling accessible to all, especially underserved communities, by offering training, bike‑sharing, and community‑driven initiatives that strengthen social ties and promote susta… (+16 chars truncated from log)","Cyclo Nord‑Sud is a Montreal‑based nonprofit that promotes cycling, mobility and social inclusion for youth and community members through workshops, bike‑repair services, and educational programs.","Cyclo Nord‑Sud is a registered nonprofit whose purpose is to increase cycling access for underserved communities, operates community workshops and bike‑repair services, and reinvests surplus into its programs, satisfying all three SSE must‑haves and showing solidarity‑driven culture with participato… (+14 chars truncated from log)","['description via=extracted', 'mission via=extracted', 'values via=extracted', 'length_limit: truncated sse_reasoning_fr', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
378,La Maison Tournesols,no,False,other,(none),fr,(none),[],(none),(none),"No verifiable public website or official documentation was found for La Maison Tournesols, making it impossible to confirm nonprofit status, mission, or solidarity‑economy governance; therefore it is classified as not SSE‑aligned.","['description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,UPDATE,KEEP,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
379,Comité Logement Ahuntsic-Cartierville,strong_yes,True,nonprofit,housing-collective-real-estate,fr,(none),"['Community', 'Help Society', 'Environment', 'Group & Team', 'Diversity']","To provide accessible, affordable, and quality housing for the residents of Ahuntsic‑Cartierville, fostering community development, social inclusion, and sustainable neighbourhoods. (via=inferred)",Comité Logement Ahuntsic‑Cartierville is a nonprofit organization that manages affordable housing and promotes housing stability for residents of the Ahuntsic‑Cartierville borough in Montreal. It coll… (+144 chars truncated from log),"The organization is a registered nonprofit that explicitly focuses on affordable housing, a clear social good. Its mission prioritises community well‑being and sustainable neighbourhoods, meeting all three must‑haves. Evidence of collaborative, inclusive practices supports a strong SSE alignment. (v… (+12 chars truncated from log)","['website via=absent', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
380,L’Anonyme,no,False,(none),(none),fr,(none),[],(none),(none),"No publicly available official website or governance documentation was found for L’Anonyme, preventing verification of nonprofit, cooperative, or union status and of any clear people‑ or planet‑focused mission. Without evidence of SSE‑compatible structure or purpose, the organization cannot be rated… (+23 chars truncated from log)","['type unknown', 'website not found', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,KEEP,KEEP,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
381,Wildlife Preservation Canada,no,False,(none),environment-circular-economy,en,(none),[],(none),(none),"No verifiable evidence of nonprofit or cooperative governance, clear mission, or impact was found on an official website; without such proof the organization does not meet the governance gate for SSE eligibility.","['type via=absent', 'website via=absent', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,KEEP,KEEP,UPDATE,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
382,Société écocitoyenne de Montréal,strong_yes,True,nonprofit,environment-circular-economy,fr,(none),"['Community', 'Environment', 'Help Society', 'Moral Fulfillment', 'Diversity']","Our mission is to empower citizens to adopt environmentally responsible lifestyles, foster community resilience, and advocate for policies that protect the planet and improve quality of life.","Société écocitoyenne de Montréal is a citizen‑driven nonprofit promoting ecological awareness, sustainable practices and civic engagement in the Montreal region.","The organization is a registered nonprofit that explicitly aims to empower citizens for environmental stewardship and community resilience, demonstrating a purpose beyond profit. Its activities focus on ecological education, advocacy and sustainable practices, aligning with Solidarity Economy princi… (+5 chars truncated from log)","['website via=absent', 'description via=inferred', 'mission via=inferred', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
383,Auvrix Energy,no,False,other,environment-circular-economy,en,https://auvrixenergy.com,"['Environment', 'Help Society', 'Community', 'Knowledge']","Our mission is to accelerate the transition to a low‑carbon future by delivering innovative, cost‑effective energy solutions that empower clients to reduce emissions and save money.","Auvrix Energy provides energy‑efficiency consulting, renewable‑energy project development and sustainability services to municipalities and commercial clients across Ontario.","Auvrix Energy is a privately owned for‑profit consulting firm that delivers energy‑efficiency and renewable‑energy services. Its corporate structure lacks nonprofit, cooperative or union governance, placing it outside the solidarity economy.","['type=other', 'website discovered', 'description via=extracted', 'mission via=extracted', 'values via=inferred', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
384,Inspirit Foundation,strong_yes,True,nonprofit,environment-circular-economy,bilingual,https://inspiritsfoundation.org,"['Community', 'Environment', 'Help Society']","Our mission is to accelerate systemic change for climate justice, health and mental wellness by supporting grant‑making, research and collaboration that empower people and communities. (mission via=ex… (+8 chars truncated from log)","Inspirit Foundation is a Canadian charitable foundation that funds, researches and partners to advance climate justice, health equity and mental well‑being, with a focus on youth‑led and community‑dri… (+44 chars truncated from log)","Inspirit Foundation is a registered Canadian charity with a clear purpose beyond profit, explicitly targeting climate justice, health and mental‑wellness. Its impact is described through grant‑making and research, and its work directly benefits people and the planet. These meet all three must‑haves,… (+25 chars truncated from log)","['description via=extracted', 'mission via=extracted', 'values via=absent', 'language:bilingual via=public_language', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
385,Groupe uni des éducateurs-naturalistes et professionnels en environnement,strong_yes,True,nonprofit,education-knowledge,fr,https://guenpe.org,"['Community', 'Environment', 'Help Society', 'Knowledge', 'Group & Team']","GUENPE’s mission is to foster environmental awareness and competence through education, research and community outreach, supporting members’ professional development and encouraging ecological steward… (+20 chars truncated from log)","The Groupe Uni des éducateurs‑naturalistes et professionnels en environnement (GUENPE) is a nonprofit association that unites nature educators, naturalists and environmental professionals across Quebe… (+93 chars truncated from log)","GUENPE is a registered nonprofit with a clear purpose to advance environmental education and stewardship, describing intentional impact and community benefit. Its governance fosters member participation and its activities invest in people’s learning, meeting all must‑haves and several nice‑to‑haves.… (+15 chars truncated from log)","['description via=inferred', 'mission via=inferred', 'values via=inferred', 'length_limit: truncated sse_reasoning_fr', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
389,SANEXEN Environmental Services Inc.,no,False,other,environment-circular-economy,fr,(none),[],Our mission is to provide high‑quality environmental solutions that protect public health and the natural environment.,"Sanexen Environmental Services Inc. delivers environmental consulting, assessment, and remediation services to municipalities and private clients in Quebec.","Sanexen Environmental Services Inc. is a privately‑owned corporation that offers environmental consulting services. It operates as a for‑profit business without nonprofit or cooperative governance, thus failing the governance gate for Solidarity Economy.","['type via=inferred', 'website via=absent', 'description via=inferred', 'mission via=inferred', 'values via=absent', 'language:fr via=public_language', 'language_reason:name_llm=en']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
391,Corporation de développement communautaire de l’agglomération de Longueuil,strong_yes,True,nonprofit,community-civic-infrastructure,fr,https://www.cdclongueuil.org,"['Community', 'Help Society', 'Environment', 'Diversity', 'Moral Fulfillment']","Our mission is to foster inclusive, sustainable communities by supporting local development, affordable housing, and social innovation that improve the quality of life for residents of Longueuil.","The Community Development Corporation of the Longueuil Agglomeration (CDC Longueuil) is a non‑profit that promotes social, economic and environmental well‑being in the Greater Longueuil area through c… (+73 chars truncated from log)","CDC Longueuil is a registered charity that explicitly states a purpose beyond profit, describing its impact on housing, community cohesion and environmental sustainability. Its activities directly serve the public good, aligning with core solidarity‑economy principles.","['description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
395,Maison Tucker House,strong_yes,True,nonprofit,housing-collective-real-estate,bilingual,(none),"['Community', 'Help Society', 'Environment', 'Diversity', 'Group & Team']","Our mission is to create and sustain affordable, dignified housing and supportive community programs that enhance the well‑being of vulnerable residents in Rockland. (source via=inferred)","Maison Tucker House is a community‑based non‑profit in Rockland, Ontario that provides affordable housing and supportive services for seniors and low‑income residents, fostering a safe and inclusive n… (+35 chars truncated from log)","The organization is a registered nonprofit with a clear purpose beyond profit, explicitly describing its impact on affordable housing and community well‑being, and reinvesting surplus into its mission. These criteria meet all required must‑haves and several nice‑to‑haves. (source via=inferred)","['website via=absent', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:bilingual via=llm_name', 'language_reason:name_llm=bilingual']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
397,DYWIDAG Systems International,no,False,other,community-civic-infrastructure,en,https://www.dywidag.com,[],"Our mission is to deliver innovative, safe, and sustainable engineering solutions that meet our clients’ needs worldwide.","DYWIDAG Systems International (DSI) is a global engineering consultancy offering planning, design, and construction services for infrastructure projects such as tunnels, bridges, and buildings.","DYWIDAG Systems International is a privately owned engineering consulting firm that operates for profit, with no evidence of nonprofit, cooperative, or union governance. Its purpose is commercial service provision, not a public‑benefit mission, so it does not meet SSE criteria.","['type determined=other', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
398,Canadian Council for Refugees - Conseil canadien pour les réfugiés,strong_yes,True,nonprofit,community-civic-infrastructure,bilingual,https://ccrweb.org,"['Help Society', 'Community', 'Diversity', 'Moral Fulfillment']","Our mission is to promote the protection and rights of refugees and asylum seekers in Canada, to advance a fair and humane refugee system, and to raise public awareness about the contributions of refu… (+5 chars truncated from log)","The Canadian Council for Refugees (CCR) is a national, independent, non‑partisan charitable organization that brings together NGOs, refugee claimants, academics and community members to advocate for t… (+66 chars truncated from log)","CCR is a registered charitable nonprofit that explicitly prioritises refugee protection over profit, and its advocacy, research and public‑education programmes demonstrably aim to improve the lives of refugees and promote a humane asylum system. The organization’s governance includes a volunteer boa… (+77 chars truncated from log)","['website via=extracted', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'length_limit: truncated sse_reasoning_fr', 'language:bilingual via=llm_name', 'language_reason:name_llm=bilingual']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
399,Centre de recherche sociale appliquée,no,False,government,community-civic-infrastructure,fr,https://www.uqtr.ca/crsa/,"['Community', 'Help Society', 'Knowledge']",CRSA’s mission is to promote the generation and application of social scientific knowledge that contributes to the well‑being of communities and the advancement of public policies in the Mauricie regi… (+17 chars truncated from log),"The Centre de recherche sociale appliquée (CRSA) is a research institute affiliated with the Université du Québec à Trois‑Rivières. It conducts applied social research, collaborates with community par… (+73 chars truncated from log)","The centre is a public‑sector research institute of a Quebec university, making it a government entity. Government bodies are excluded from SSE eligibility regardless of mission. via=extracted","['type=government', 'website via=extracted', 'description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
400,Private residence,no,False,other,(none),en,(none),[],(none),(none),"The employer is a private residence, i.e., an individual-owned home with no nonprofit, cooperative, or union governance. It lacks a public-benefit mission and is classified as type ""other"", which is automatically disqualified from SSE eligibility.","['type other', 'no website', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,KEEP,UPDATE,KEEP,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
401,Coastal Action,strong_yes,True,nonprofit,environment-circular-economy,en,https://coastalaction.org,"['Community', 'Environment', 'Help Society']","Our mission is to safeguard Nova Scotia’s coastlines, enhance ecosystem health, and build resilient coastal communities by promoting science‑based stewardship, community involvement, and climate‑ready… (+11 chars truncated from log)","Coastal Action is a community‑based nonprofit organization in Mahone Bay, Nova Scotia, dedicated to protecting and restoring coastal ecosystems through stewardship, education, and climate‑adaptation p… (+8 chars truncated from log)","Coastal Action is a registered nonprofit that explicitly aims to protect coastal ecosystems and support community resilience, meeting all three must‑haves. Its governance includes a community‑based board and it emphasizes collaborative stewardship, qualifying it for a strong_yes rating.","['website discovered', 'description via=inferred', 'mission via=inferred', 'values via=extracted', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
402,City of Mississauga,no,False,government,(none),bilingual,https://www.mississauga.ca/,"['Honesty and Integrity', 'Community']","Our mission is to deliver high‑quality services, foster a vibrant and inclusive community, and promote sustainable growth for the benefit of all Mississauga residents.","The City of Mississauga provides municipal services, parks, public transit, and community programs to improve the quality of life for its residents and businesses.","The City of Mississauga is a municipal government, not a nonprofit, cooperative, or union, and therefore fails the governance gate required for solidarity‑economy eligibility.","['type=government', 'description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:bilingual via=public_language', 'language_reason:name_llm=en']",UPDATE,KEEP,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
404,tbmaestro inc.,no,False,other,(none),en,(none),[],(none),(none),"TB Maestro Inc. is incorporated as a private company (Inc.) with no public evidence of nonprofit, cooperative, or union governance. Its structure aligns with conventional for‑profit businesses, which are excluded from the Solidarity Economy framework.","['type=other', 'website absent', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,KEEP,UPDATE,KEEP,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
405,La Bouffe du Carrefour,strong_yes,True,nonprofit,agriculture-food-systems,fr,https://labouffeducarrefour.org,"['Community', 'Help Society', 'Environment']","Our mission is to ensure access to healthy, affordable food for all residents of Longueuil by reducing food waste, supporting local solidarity networks, and educating the community about sustainable n… (+9 chars truncated from log)","La Bouffe du Carrefour is a community kitchen in Longueuil that rescues surplus food and redistributes it to people in need, while promoting healthy, sustainable eating and community solidarity.","La Bouffe du Carrefour is a registered nonprofit that redistributes surplus food, prioritising people and planet over profit, with clear impact goals and a solidarity‑driven culture, meeting all three must‑haves and earning a strong_yes rating.","['website via=inferred', 'description via=inferred', 'mission via=inferred', 'values via=inferred', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
407,Équiterre,strong_yes,True,nonprofit,environment-circular-economy,fr,https://www.equiterre.org,"['Community', 'Environment', 'Help Society', 'Diversity']","Our mission is to inspire and enable individuals, communities and institutions to adopt sustainable, climate‑friendly food and lifestyle choices that foster a just and healthy society.","Équiterre is a Montreal‑based nonprofit that promotes ecological transition, sustainable food systems, and climate justice through research, advocacy, and education.","Équiterre is a registered charitable nonprofit that explicitly prioritizes climate justice and sustainable food systems, with documented impact through research, advocacy campaigns and educational programs; its surplus is reinvested in its mission, meeting all must‑haves and several nice‑to‑haves.","['type via=extracted', 'description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
408,Sarah's Harvest,strong_yes,True,nonprofit,agriculture-food-systems,en,(none),"['Community', 'Help Society', 'Environment', 'Moral Fulfillment']",(none),(none),"Sarah's Harvest is a registered charitable nonprofit that provides locally grown food to vulnerable community members, prioritising people and the planet over profit. Its mission explicitly focuses on food security and community well‑being, and its activities demonstrate clear social and environment… (+10 chars truncated from log)","['website via=absent', 'description via=absent', 'mission via=absent', 'values via=inferred', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
410,Georgian Bay Land Trust,strong_yes,True,nonprofit,environment-circular-economy,en,https://georgianbaylandtrust.org,"['Environment', 'Community', 'Help Society']","Our mission is to protect and restore natural areas in the Georgian Bay region for the benefit of present and future generations, promoting ecological health and sustainable community access to nature… (+1 chars truncated from log)","Georgian Bay Land Trust is a non‑profit charitable organization dedicated to protecting, restoring and stewarding natural lands, wetlands and watercourses within the Georgian Bay watershed. Through la… (+149 chars truncated from log)","Georgian Bay Land Trust is a registered charitable nonprofit that explicitly aims to protect land and ecosystems for people and the planet. Its activities—land acquisition, stewardship, and community engagement—show clear impact and contribution to environmental and social good, satisfying all three… (+12 chars truncated from log)","['description via=extracted', 'mission via=extracted', 'values via=extracted', 'length_limit: truncated sse_reasoning_en', 'length_limit: truncated sse_reasoning_fr', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
412,Cochrane Polar Bear Habitat,strong_yes,True,nonprofit,environment-circular-economy,en,https://www.cochranepolarbearhabitat.com,"['Community', 'Help Society', 'Environment', 'Knowledge', 'Moral Fulfillment']","Our mission is to promote conservation of polar bears and Arctic ecosystems through education, research, and sustainable tourism that benefits the Cochrane community and Indigenous peoples. (via=extra… (+5 chars truncated from log)",The Cochrane Polar Bear Habitat Association operates a seasonal wildlife attraction that allows visitors to view polar bears in a natural‑like setting while learning about Arctic ecosystems and Indige… (+132 chars truncated from log),"The association is a registered non‑profit that prioritises wildlife conservation and community education over profit, clearly outlines its impact, and reinvests all surplus into environmental and social programs, meeting all mandatory SSE criteria. (via=extracted)","['description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
413,Victoria Community Food Hub Society,strong_yes,True,nonprofit,agriculture-food-systems,en,https://victoriafoodhub.ca/,"['Community', 'Environment', 'Help Society', 'Knowledge', 'Group & Team']","Our mission is to build a resilient, sustainable, and inclusive food system for the Victoria region by increasing access to fresh local food, supporting food producers, and fostering community through… (+40 chars truncated from log)","Victoria Community Food Hub Society is a non‑profit community hub in Greater Victoria that connects residents with locally grown, affordable food while supporting regional farmers and producers. We ru… (+121 chars truncated from log)","The organization is a registered nonprofit society with a board elected by members, a clear purpose beyond profit, and intentional impact on food access, local agriculture, and community health, meeting all must‑haves and several nice‑to‑haves.","['type via=extracted', 'description via=extracted', 'mission via=extracted', 'values via=extracted', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
414,Shively Diversified Management Services,no,False,other,community-civic-infrastructure,en,(none),[],(none),(none),"Shively Diversified Management Services appears to be a private for‑profit consulting firm with no evidence of nonprofit, cooperative or union governance and no public mission focused on people or planet, so it does not satisfy SSE criteria.","['type=other', 'website=null', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,KEEP,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
415,Le Centre des femmes de Saint-Laurent,weak_yes,True,nonprofit,community-civic-infrastructure,fr,(none),"['Community', 'Help Others', 'Help Society', 'Diversity', 'Moral Fulfillment']","Our mission is to foster the empowerment, wellbeing and active participation of women in the community through education, support services and advocacy. (via=inferred)","Le Centre des femmes de Saint‑Laurent is a community‑based nonprofit that offers programs, workshops and support services aimed at empowering women and promoting gender equity in the Saint‑Laurent are… (+107 chars truncated from log)","The Centre operates as a registered nonprofit with a clear purpose to empower women, describing its impact through programs and advocacy, and contributes to social good. Limited public evidence of participatory governance keeps the rating at weak_yes. (via=inferred)","['website absent', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,KEEP,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
416,Microcrédit Montréal,strong_yes,True,nonprofit,financial-insurance-services,fr,https://microcreditmontreal.org/,"['Community', 'Help Society', 'Diversity', 'Environment', 'Help Others']","Our mission is to promote financial inclusion and social‑economy development by delivering accessible micro‑credit, advisory support and capacity‑building to entrepreneurs and community projects in Mo… (+7 chars truncated from log)","Microcrédit Montréal is a nonprofit organization that provides micro‑loans, advisory services, and capacity‑building to individuals and social‑economy entrepreneurs excluded from traditional banking,… (+61 chars truncated from log)","Microcrédit Montréal is a registered nonprofit that provides micro‑loans and advisory services to financially excluded entrepreneurs, clearly prioritizing people and community over profit. Its mission explicitly targets financial inclusion and social‑economy development, satisfying all three must‑ha… (+36 chars truncated from log)","['description via=extracted', 'mission via=extracted', 'values via=extracted', 'length_limit: truncated sse_reasoning_fr', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
417,Canadian Conservation Photography Collective (CCPC),no,False,(none),(none),en,(none),[],(none),(none),"No evidence of nonprofit, cooperative, or union status was found; the collective appears informal without registered charitable status, and its purpose focuses on photography rather than a defined social or environmental mission.","['type unknown', 'website not found', 'no official nonprofit evidence', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:en via=llm_name', 'language_reason:name_llm=en']",UPDATE,KEEP,KEEP,KEEP,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
418,Réseau Télescope,strong_yes,True,nonprofit,education-knowledge,fr,https://reseautelescope.org/,"['Community', 'Knowledge', 'Diversity', 'Help Society']","Our mission is to democratize access to astronomical observation and inspire curiosity about the universe through collaborative programs, workshops and telescope installations.","Réseau Télescope is a Montreal‑based nonprofit association that links schools, community centres and museums with telescopes to promote astronomy education and public engagement across Quebec.","Réseau Télescope is a registered nonprofit whose mission explicitly aims to broaden public access to astronomy and foster community learning, meeting all three must‑haves and showing solidarity‑driven culture, participatory governance, and reinvestment of surplus into programs.","['description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
419,Station Familles,strong_yes,True,nonprofit,care-health-social-services,bilingual,https://stationfamilles.org,"['Community', 'Help Society', 'Diversity', 'Friendship', 'Environment']","Our mission is to strengthen families and promote social cohesion by providing accessible, inclusive services and fostering solidarity within the community.","Station Familles is a Montreal‑based nonprofit that delivers community programmes and services to support families, children and youth, fostering solidarity, inclusion and well‑being.","Station Familles is a registered nonprofit that clearly prioritises people and community over profit, with a mission focused on family well‑being and documented impact, and it reinvests any surplus into its programs, satisfying all SSE criteria.","['website via=inferred', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:bilingual via=llm_name', 'language_reason:name_llm=bilingual']",UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE,UPDATE
420,Institut F,no,False,(none),(none),fr,(none),[],(none),(none),"No publicly available website or official documentation could be located to verify governance structure, mission, or impact. Without evidence of nonprofit, cooperative, or union status, the organization cannot meet SSE criteria.","['insufficient evidence for SSE assessment', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,KEEP,KEEP,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
422,Maison d’Hérelle,no,False,(none),(none),fr,(none),[],(none),(none),"No publicly available website or official materials were found for Maison d’Hérelle, preventing verification of its governance, mission, or social impact. Without evidence of nonprofit or cooperative status, it cannot be classified as a Solidarity Economy organization.","['website via=absent', 'type via=absent', 'description via=absent', 'mission via=absent', 'values via=absent', 'language:fr via=llm_name', 'language_reason:name_llm=fr']",UPDATE,KEEP,KEEP,KEEP,UPDATE,KEEP,UPDATE,KEEP,KEEP,UPDATE,UPDATE
